"X","scenario","SOCs.soc","Temperatures.temp_mean","Powers.power_bat"
0,"winter",87.8,-47.6,NA
1,"winter",87.8,-47,4.8581
2,"winter",87.8,-47,4.8581
3,"winter",87.8,-47,4.8581
4,"winter",87.8,-47,4.8581
5,"winter",87.8,-47,4.8581
6,"winter",87.8,-47,4.8581
7,"winter",87.8,-47,4.8581
8,"winter",87.8,-47,4.8581
9,"winter",87.8,-47,4.8581
10,"winter",87.8,-47,4.8581
11,"winter",87.8,-47,4.8581
12,"winter",87.8,-47,4.8581
13,"winter",87.8,-47,4.8581
14,"winter",87.8,-47,4.8581
15,"winter",87.8,-47,4.8581
16,"winter",87.8,-47,4.8581
17,"winter",87.8,-47,4.8581
18,"winter",87.8,-47,4.8581
19,"winter",87.8,-47,4.8581
20,"winter",87.8,-47,4.8581
21,"winter",87.8,-47,4.8581
22,"winter",87.8,-47,4.8581
23,"winter",87.8,-47,4.8581
24,"winter",87.8,-47,4.8581
25,"winter",87.8,-47,4.8581
26,"winter",87.8,-47,4.8581
27,"winter",87.8,-47,4.8581
28,"winter",87.8,-47,4.8581
29,"winter",87.8,-47,4.8581
30,"winter",87.8,-47,4.8581
31,"winter",87.8,-47,4.8581
32,"winter",87.8,-47,4.8581
33,"winter",87.8,-47,29.6208
34,"winter",87.8,-47,NA
35,"winter",87.8,-47,NA
36,"winter",87.9,-47,NA
37,"winter",87.9,-47,NA
38,"winter",87.9,-47,NA
39,"winter",87.9,-47,NA
40,"winter",87.9,-47,NA
41,"winter",87.9,-47,NA
42,"winter",87.9,-47,NA
43,"winter",87.9,-47,NA
44,"winter",87.9,-47,NA
45,"winter",87.9,-47,NA
46,"winter",87.9,-47,NA
47,"winter",87.9,-47,NA
48,"winter",87.9,-47,NA
49,"winter",87.9,-47,NA
50,"winter",87.9,-47,NA
51,"winter",87.9,-47,NA
52,"winter",87.9,-47,NA
53,"winter",88,-47,NA
54,"winter",88,-47,NA
55,"winter",88,-47,NA
56,"winter",88,-47,NA
57,"winter",88,-47,NA
58,"winter",88,-47,4.90355
59,"winter",88,-47,4.8682
60,"winter",88,-47,4.8682
61,"winter",88,-47,4.8682
62,"winter",88,-47,4.8682
63,"winter",88,-47,4.8682
64,"winter",88,-47,4.8682
65,"winter",88,-47,4.8682
66,"winter",88,-47,4.8682
67,"winter",88,-47,4.8682
68,"winter",88,-47,4.8682
69,"winter",88,-47,4.8682
70,"winter",88,-47,4.8682
71,"winter",88,-47,4.8682
72,"winter",88,-47,4.8682
73,"winter",88,-47,4.8682
74,"winter",88,-46.9,4.8682
75,"winter",88,-46.9,4.8682
76,"winter",88,-46.9,4.8682
77,"winter",88,-46.9,4.8682
78,"winter",88,-46.9,4.8682
79,"winter",88,-46.9,4.86315
80,"winter",88,-46.9,4.86315
81,"winter",88,-46.9,-12.8115
82,"winter",88,-46.9,-95.445
83,"winter",87.9,-46.9,-90.147
84,"winter",87.9,-46.9,-82.355
85,"winter",87.9,-46.9,-80.168
86,"winter",87.9,-46.9,-82.355
87,"winter",87.9,-46.9,-83.628
88,"winter",87.8,-46.8,-104.85
89,"winter",87.8,-46.8,7.144
90,"winter",87.8,-46.8,12.30375
91,"winter",87.8,-46.8,-14.0954
92,"winter",87.8,-46.8,17.2175
93,"winter",87.8,-46.8,25.0677
94,"winter",87.8,-46.8,9.4545
95,"winter",87.8,-46.8,23.5914
96,"winter",87.8,-46.8,-12.0704
97,"winter",87.8,-46.8,25.8778
98,"winter",87.8,-46.8,11.7608
99,"winter",87.8,-46.8,8.6457
100,"winter",87.8,-46.8,5.8275
101,"winter",87.8,-46.8,26.36265
102,"winter",87.8,-46.8,11.43525
103,"winter",87.7,-46.7,-62.3565
104,"winter",87.7,-46.6,4.21356
105,"winter",87.7,-46.5,-15.93185
106,"winter",87.7,-46.5,-2.82978
107,"winter",87.7,-46.5,12.545
108,"winter",87.7,-46.5,10.7115
109,"winter",87.7,-46.5,8.2818
110,"winter",87.7,-46.5,6.30765
111,"winter",87.7,-46.5,8.23365
112,"winter",87.7,-46.5,-19.1496
113,"winter",87.7,-46.5,-10.5616
