"X","scenario","Temperatures.temp_mean","SOCs.soc"
0,"winter",-47.6,87.8
1,"winter",-47,87.8
2,"winter",-47,87.8
3,"winter",-47,87.8
4,"winter",-47,87.8
5,"winter",-47,87.8
6,"winter",-47,87.8
7,"winter",-47,87.8
8,"winter",-47,87.8
9,"winter",-47,87.8
10,"winter",-47,87.8
11,"winter",-47,87.8
12,"winter",-47,87.8
13,"winter",-47,87.8
14,"winter",-47,87.8
15,"winter",-47,87.8
16,"winter",-47,87.8
17,"winter",-47,87.8
18,"winter",-47,87.8
19,"winter",-47,87.8
20,"winter",-47,87.8
21,"winter",-47,87.8
22,"winter",-47,87.8
23,"winter",-47,87.8
24,"winter",-47,87.8
25,"winter",-47,87.8
26,"winter",-47,87.8
27,"winter",-47,87.8
28,"winter",-47,87.8
29,"winter",-47,87.8
30,"winter",-47,87.8
31,"winter",-47,87.8
32,"winter",-47,87.8
33,"winter",-47,87.8
34,"winter",-47,87.8
35,"winter",-47,87.8
36,"winter",-47,87.9
37,"winter",-47,87.9
38,"winter",-47,87.9
39,"winter",-47,87.9
40,"winter",-47,87.9
41,"winter",-47,87.9
42,"winter",-47,87.9
43,"winter",-47,87.9
44,"winter",-47,87.9
45,"winter",-47,87.9
46,"winter",-47,87.9
47,"winter",-47,87.9
48,"winter",-47,87.9
49,"winter",-47,87.9
50,"winter",-47,87.9
51,"winter",-47,87.9
52,"winter",-47,87.9
53,"winter",-47,88
54,"winter",-47,88
55,"winter",-47,88
56,"winter",-47,88
57,"winter",-47,88
58,"winter",-47,88
59,"winter",-47,88
60,"winter",-47,88
61,"winter",-47,88
62,"winter",-47,88
63,"winter",-47,88
64,"winter",-47,88
65,"winter",-47,88
66,"winter",-47,88
67,"winter",-47,88
68,"winter",-47,88
69,"winter",-47,88
70,"winter",-47,88
71,"winter",-47,88
72,"winter",-47,88
73,"winter",-47,88
74,"winter",-46.9,88
75,"winter",-46.9,88
76,"winter",-46.9,88
77,"winter",-46.9,88
78,"winter",-46.9,88
79,"winter",-46.9,88
80,"winter",-46.9,88
81,"winter",-46.9,88
82,"winter",-46.9,88
83,"winter",-46.9,87.9
84,"winter",-46.9,87.9
85,"winter",-46.9,87.9
86,"winter",-46.9,87.9
87,"winter",-46.9,87.9
88,"winter",-46.8,87.8
89,"winter",-46.8,87.8
90,"winter",-46.8,87.8
91,"winter",-46.8,87.8
92,"winter",-46.8,87.8
93,"winter",-46.8,87.8
94,"winter",-46.8,87.8
95,"winter",-46.8,87.8
96,"winter",-46.8,87.8
97,"winter",-46.8,87.8
98,"winter",-46.8,87.8
99,"winter",-46.8,87.8
100,"winter",-46.8,87.8
101,"winter",-46.8,87.8
102,"winter",-46.8,87.8
103,"winter",-46.7,87.7
104,"winter",-46.6,87.7
105,"winter",-46.5,87.7
106,"winter",-46.5,87.7
107,"winter",-46.5,87.7
108,"winter",-46.5,87.7
109,"winter",-46.5,87.7
110,"winter",-46.5,87.7
111,"winter",-46.5,87.7
112,"winter",-46.5,87.7
113,"winter",-46.5,87.7
114,"winter",-46.5,87.6
115,"winter",-46.5,87.6
116,"winter",-46.5,87.6
117,"winter",-46.5,87.6
118,"winter",-46.4,87.6
119,"winter",-46.4,87.5
120,"winter",-46.4,87.5
121,"winter",-46.4,87.5
122,"winter",-46.4,87.5
123,"winter",-46.4,87.5
124,"winter",-46.4,87.4
125,"winter",-46.3,87.4
126,"winter",-46.3,87.4
